Crop_name,N,P,K,DAP,Urea,MOP
Wheat,50,10,77,108.69565217391305,0.0,0
Wheat,85,55,67,10.869565217391305,0.0,0
Wheat,70,30,22,65.21739130434783,0.0,63.333333333333336
Wheat,10,65,77,0,239.1304347826087,0
Wheat,45,60,77,0,163.04347826086956,0
Wheat,55,20,22,86.95652173913044,0.0,63.333333333333336
Wheat,105,45,42,32.608695652173914,0.0,30.0
Wheat,90,55,67,10.869565217391305,0.0,0
Wheat,45,55,72,10.869565217391305,0.0,0
Wheat,60,20,67,86.95652173913044,0.0,0
Wheat,50,40,62,43.47826086956522,0.0,0
Wheat,25,35,62,54.34782608695652,0.0,0
Wheat,95,50,77,21.73913043478261,0.0,0
Wheat,25,50,12,21.73913043478261,0.0,80.0
Wheat,100,65,77,0,43.47826086956522,0
Wheat,40,55,32,10.869565217391305,0.0,46.666666666666664
Wheat,100,40,72,43.47826086956522,0.0,0
Wheat,125,25,37,76.08695652173913,49.51690821256039,38.333333333333336
Wheat,30,25,17,76.08695652173913,0.0,71.66666666666667
Wheat,115,50,52,21.73913043478261,0.0,13.333333333333334
Wheat,75,35,67,54.34782608695652,0.0,0
Wheat,40,15,52,97.82608695652173,0.0,13.333333333333334
Wheat,95,55,42,10.869565217391305,0.0,30.0
Wheat,100,20,22,86.95652173913044,0.0,63.333333333333336
Wheat,10,50,7,21.73913043478261,0.0,88.33333333333333
Wheat,90,25,47,76.08695652173913,0.0,21.666666666666668
Wheat,60,55,17,10.869565217391305,0.0,71.66666666666667
Wheat,100,30,27,65.21739130434783,0.0,55.0
Wheat,85,35,72,54.34782608695652,0.0,0
Wheat,30,55,72,10.869565217391305,0.0,0
Wheat,80,45,77,32.608695652173914,0.0,0
Wheat,10,60,72,0,239.1304347826087,0
Wheat,105,60,67,0,32.608695652173914,0
Wheat,85,15,22,97.82608695652173,0.0,63.333333333333336
Wheat,120,25,72,76.08695652173913,0.0,0
Wheat,10,25,47,76.08695652173913,0.0,21.666666666666668
Wheat,105,25,57,76.08695652173913,0.0,5.0
Wheat,100,10,62,108.69565217391305,0.0,0
Wheat,45,15,7,97.82608695652173,0.0,88.33333333333333
Wheat,25,35,22,54.34782608695652,0.0,63.333333333333336
Wheat,15,45,32,32.608695652173914,0.0,46.666666666666664
Wheat,50,20,37,86.95652173913044,0.0,38.333333333333336
Wheat,55,60,2,0,141.30434782608697,96.66666666666667
Wheat,50,10,77,108.69565217391305,0.0,0
Wheat,115,25,77,76.08695652173913,0.0,0
Wheat,20,65,57,0,217.3913043478261,5.0
Wheat,90,40,42,43.47826086956522,0.0,30.0
Wheat,15,40,42,43.47826086956522,0.0,30.0
Wheat,90,50,62,21.73913043478261,0.0,0
Wheat,45,10,22,108.69565217391305,0.0,63.333333333333336
Wheat,105,55,77,10.869565217391305,0.0,0
Wheat,25,30,47,65.21739130434783,0.0,21.666666666666668
Wheat,45,35,52,54.34782608695652,0.0,13.333333333333334
Wheat,45,40,7,43.47826086956522,0.0,88.33333333333333
Wheat,30,45,42,32.608695652173914,0.0,30.0
Wheat,60,45,27,32.608695652173914,0.0,55.0
Wheat,85,40,12,43.47826086956522,0.0,80.0
Wheat,120,35,32,54.34782608695652,0.0,46.666666666666664
Wheat,15,65,47,0,228.2608695652174,21.666666666666668
Wheat,85,50,57,21.73913043478261,0.0,5.0
Wheat,80,25,57,76.08695652173913,0.0,5.0
Wheat,65,10,57,108.69565217391305,0.0,5.0
Wheat,40,30,42,65.21739130434783,0.0,30.0
Wheat,120,30,47,65.21739130434783,0.0,21.666666666666668
Wheat,115,55,27,10.869565217391305,0.0,55.0
Wheat,10,25,77,76.08695652173913,0.0,0
Wheat,45,20,17,86.95652173913044,0.0,71.66666666666667
Wheat,10,55,77,10.869565217391305,0.0,0
Wheat,45,60,12,0,163.04347826086956,80.0
Wheat,110,35,2,54.34782608695652,0.0,96.66666666666667
Wheat,10,35,27,54.34782608695652,0.0,55.0
Wheat,65,30,47,65.21739130434783,0.0,21.666666666666668
Wheat,125,35,27,54.34782608695652,49.51690821256039,55.0
Wheat,70,45,72,32.608695652173914,0.0,0
Wheat,115,10,32,108.69565217391305,0.0,46.666666666666664
Wheat,35,45,62,32.608695652173914,0.0,0
Wheat,50,35,67,54.34782608695652,0.0,0
Wheat,25,20,72,86.95652173913044,0.0,0
Wheat,30,35,22,54.34782608695652,0.0,63.333333333333336
Wheat,95,10,47,108.69565217391305,0.0,21.666666666666668
Wheat,25,40,57,43.47826086956522,0.0,5.0
Wheat,65,35,32,54.34782608695652,0.0,46.666666666666664
Wheat,20,15,62,97.82608695652173,0.0,0
Wheat,15,10,52,108.69565217391305,0.0,13.333333333333334
Wheat,45,65,52,0,163.04347826086956,13.333333333333334
Wheat,10,30,77,65.21739130434783,0.0,0
Wheat,10,20,27,86.95652173913044,0.0,55.0
Wheat,40,45,42,32.608695652173914,0.0,30.0
Wheat,105,15,67,97.82608695652173,0.0,0
Wheat,115,20,72,86.95652173913044,0.0,0
Wheat,55,20,27,86.95652173913044,0.0,55.0
Wheat,40,30,27,65.21739130434783,0.0,55.0
Wheat,70,20,62,86.95652173913044,0.0,0
Wheat,75,55,32,10.869565217391305,0.0,46.666666666666664
Wheat,85,20,12,86.95652173913044,0.0,80.0
Wheat,120,15,7,97.82608695652173,0.0,88.33333333333333
Wheat,95,50,67,21.73913043478261,0.0,0
Wheat,35,30,42,65.21739130434783,0.0,30.0
Wheat,80,60,42,0,86.95652173913044,30.0
Wheat,30,35,7,54.34782608695652,0.0,88.33333333333333
Wheat,75,15,62,97.82608695652173,0.0,0
Wheat,120,45,72,32.608695652173914,0.0,0
Wheat,35,15,12,97.82608695652173,0.0,80.0
Wheat,120,50,17,21.73913043478261,0.0,71.66666666666667
Wheat,100,20,7,86.95652173913044,0.0,88.33333333333333
Wheat,35,30,37,65.21739130434783,0.0,38.333333333333336
Wheat,70,40,57,43.47826086956522,0.0,5.0
Wheat,30,60,57,0,195.65217391304347,5.0
Wheat,50,25,37,76.08695652173913,0.0,38.333333333333336
Wheat,100,35,77,54.34782608695652,0.0,0
Wheat,50,45,22,32.608695652173914,0.0,63.333333333333336
Wheat,85,10,32,108.69565217391305,0.0,46.666666666666664
Wheat,90,25,17,76.08695652173913,0.0,71.66666666666667
Wheat,15,20,32,86.95652173913044,0.0,46.666666666666664
Wheat,100,55,62,10.869565217391305,0.0,0
Wheat,115,25,57,76.08695652173913,0.0,5.0
Wheat,90,10,77,108.69565217391305,0.0,0
Wheat,50,65,62,0,152.17391304347825,0
